id,ayah_no_quran,surah_no,surah_name_ar,surah_name_en,surah_name_roman,ayah_no_surah,text_ar,text_en_primary,text_en_yusufali,text_en_pickthall,text_en_arberry,juz_no,ruko_no,hizb_quarter,manzil_no,place_of_revelation,sajdah_ayah,no_of_words,topic,subtopic
4676,4676,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,1,وَٱلذَّٰرِيَٰتِ ذَرْوًۭا,"By the winds scattering ˹dust˺,",By the (Winds) that scatter broadcast;,By those that winnow with a winnowing,By the swift scatterers,26,455,208,7,Meccan,FALSE,2,Scattering & Divine Warning,
4677,4677,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,2,فَٱلْحَٰمِلَٰتِ وِقْرًۭا,"and ˹the clouds˺ loaded with rain,",And those that lift and bear away heavy weights;,And those that bear the burden (of the rain),and the burden-bearers,26,455,208,7,Meccan,FALSE,2,Scattering & Divine Warning,
4678,4678,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,3,فَٱلْجَٰرِيَٰتِ يُسْرًۭا,"and ˹the ships˺ gliding with ease,",And those that flow with ease and gentleness;,And those that glide with ease (upon the sea),and the smooth runners,26,455,208,7,Meccan,FALSE,2,Scattering & Divine Warning,
4679,4679,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,4,فَٱلْمُقَسِّمَٰتِ أَمْرًا,and ˹the angels˺ administering affairs by ˹Allah’s˺ command!,And those that distribute and apportion by Command;-,"And those who distribute (blessings) by command,","and the partitioners,",26,455,208,7,Meccan,FALSE,2,Scattering & Divine Warning,
4680,4680,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,5,إِنَّمَا تُوعَدُونَ لَصَادِقٌۭ,"Indeed, what you are promised is true.",Verily that which ye are promised is true;,"Lo! that wherewith ye are threatened is indeed true,","surely that you are promised is true,",26,455,208,7,Meccan,FALSE,3,Scattering & Divine Warning,
4681,4681,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,6,وَإِنَّ ٱلدِّينَ لَوَٰقِعٌۭ,And the Judgment will certainly come to pass.,And verily Judgment and Justice must indeed come to pass.,And lo! the judgment will indeed befall.,and surely the Doom is about to fall!,26,455,208,7,Meccan,FALSE,3,Scattering & Divine Warning,
4682,4682,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,7,وَٱلسَّمَآءِ ذَاتِ ٱلْحُبُكِ,˹And˺ by the heavens in their marvellous design!,"By the Sky with (its) numerous Paths,","By the heaven full of paths,",By heaven with all its tracks,26,455,208,7,Meccan,FALSE,3,Scattering & Divine Warning,
4683,4683,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,8,إِنَّكُمْ لَفِى قَوْلٍۢ مُّخْتَلِفٍۢ,Surely you are ˹lost˺ in conflicting views ˹regarding the truth˺.,"Truly ye are in a doctrine discordant,","Lo! ye, forsooth, are of various opinion (concerning the truth).","surely you speak at variance,",26,455,208,7,Meccan,FALSE,4,Scattering & Divine Warning,
4684,4684,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,9,يُؤْفَكُ عَنْهُ مَنْ أُفِكَ,Only those ˹destined to be˺ deluded are turned away from it.,Through which are deluded (away from the Truth) such as would be deluded.,He is made to turn away from it who is (himself) averse.,and perverted therefrom are some.,26,455,208,7,Meccan,FALSE,4,Scattering & Divine Warning,
4685,4685,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,10,قُتِلَ ٱلْخَرَّٰصُونَ,Condemned are the liars—,"Woe to the falsehood-mongers,-",Accursed be the conjecturers,Perish the conjecturers,26,455,208,7,Meccan,FALSE,2,Scattering & Divine Warning,
4686,4686,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,11,ٱلَّذِينَ هُمْ فِى غَمْرَةٍۢ سَاهُونَ,"those who are ˹steeped˺ in ignorance, totally heedless.",Those who (flounder) heedless in a flood of confusion:,Who are careless in an abyss!,who are dazed in perplexity,26,455,208,7,Meccan,FALSE,5,Scattering & Divine Warning,
4687,4687,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,12,يَسْـَٔلُونَ أَيَّانَ يَوْمُ ٱلدِّينِ,"They ask ˹mockingly˺, “When is this Day of Judgment?”","They ask, ""When will be the Day of Judgment and Justice?""",They ask: When is the Day of Judgment ?,"asking, ’When shall be the Day of Doom?’",26,455,208,7,Meccan,FALSE,4,Scattering & Divine Warning,
4688,4688,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,13,يَوْمَ هُمْ عَلَى ٱلنَّارِ يُفْتَنُونَ,˹It is˺ the Day they will be tormented over the Fire.,(It will be) a Day when they will be tried (and tested) over the Fire!,"(It is) the day when they will be tormented at the Fire,",Upon the day when they shall be tried at the Fire:,26,455,208,7,Meccan,FALSE,5,Scattering & Divine Warning,
4689,4689,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,14,ذُوقُوا۟ فِتْنَتَكُمْ هَٰذَا ٱلَّذِى كُنتُم بِهِۦ تَسْتَعْجِلُونَ,"˹They will be told,˺ “Taste your torment! This is what you sought to hasten.”","""Taste ye your trial! This is what ye used to ask to be hastened!""",(And it will be said unto them): Taste your torment (which ye inflicted). This is what ye sought to hasten.,’Taste your trial! This is that you were seeking to hasten.’,26,455,208,7,Meccan,FALSE,7,Scattering & Divine Warning,
4690,4690,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,15,إِنَّ ٱلْمُتَّقِينَ فِى جَنَّٰتٍۢ وَعُيُونٍ,"Indeed, the righteous will be amid Gardens and springs,","As to the Righteous, they will be in the midst of Gardens and Springs,","Lo! those who keep from evil will dwell amid gardens and watersprings,",Surely the godfearing shall be among gardens and fountains,26,455,208,7,Meccan,FALSE,5,Scattering & Divine Warning,
4691,4691,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,16,ءَاخِذِينَ مَآ ءَاتَىٰهُمْ رَبُّهُمْ ۚ إِنَّهُمْ كَانُوا۟ قَبْلَ ذَٰلِكَ مُحْسِنِينَ,˹joyfully˺ receiving what their Lord will grant them. Before this ˹reward˺ they were truly good-doers ˹in the world˺:,"Taking joy in the things which their Lord gives them, because, before then, they lived a good life.",Taking that which their Lord giveth them; for lo! aforetime they were doers of good;,taking whatsoever their Lord has given them; they were good-doers before that.,26,455,208,7,Meccan,FALSE,10,Scattering & Divine Warning,
4692,4692,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,17,كَانُوا۟ قَلِيلًۭا مِّنَ ٱلَّيْلِ مَا يَهْجَعُونَ,"they used to sleep only little in the night,","They were in the habit of sleeping but little by night,","They used to sleep but little of the night,","Little of the night would they slumber,",26,455,208,7,Meccan,FALSE,6,Scattering & Divine Warning,
4693,4693,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,18,وَبِٱلْأَسْحَارِ هُمْ يَسْتَغْفِرُونَ,and pray for forgiveness before dawn.,"And in the hour of early dawn, they (were found) praying for Forgiveness;","And ere the dawning of each day would seek forgiveness,",and in the mornings they would ask for forgiveness;,26,455,208,7,Meccan,FALSE,3,Scattering & Divine Warning,
4694,4694,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,19,وَفِىٓ أَمْوَٰلِهِمْ حَقٌّۭ لِّلسَّآئِلِ وَٱلْمَحْرُومِ,And in their wealth there was a rightful share ˹fulfilled˺ for the beggar and the poor.,"And in their wealth and possessions (was remembered) the right of the (needy,) him who asked, and him who (for some reason) was prevented (from asking).",And in their wealth the beggar and the outcast had due share.,and the beggar and the outcast had a share in their wealth.,26,455,208,7,Meccan,FALSE,5,Scattering & Divine Warning,
4695,4695,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,20,وَفِى ٱلْأَرْضِ ءَايَٰتٌۭ لِّلْمُوقِنِينَ,"There are ˹countless˺ signs on earth for those with sure faith,","On the earth are signs for those of assured Faith,",And in the earth are portents for those whose faith is sure.,In the earth are signs for those having sure faith;,26,455,208,7,Meccan,FALSE,4,Scattering & Divine Warning,Creation & Natural Signs
4696,4696,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,21,وَفِىٓ أَنفُسِكُمْ ۚ أَفَلَا تُبْصِرُونَ,as there are within yourselves. Can you not see?,As also in your own selves: Will ye not then see?,And (also) in yourselves. Can ye then not see ?,"and in your selves; what, do you not see?",26,455,208,7,Meccan,FALSE,5,Scattering & Divine Warning,
4697,4697,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,22,وَفِى ٱلسَّمَآءِ رِزْقُكُمْ وَمَا تُوعَدُونَ,In heaven is your sustenance and whatever you are promised.,"And in heaven is your Sustenance, as (also) that which ye are promised.",And in the heaven is your providence and that which ye are promised;,"And in heaven is your provision, and that you are promised.",26,455,208,7,Meccan,FALSE,5,Scattering & Divine Warning,
4698,4698,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,23,فَوَرَبِّ ٱلسَّمَآءِ وَٱلْأَرْضِ إِنَّهُۥ لَحَقٌّۭ مِّثْلَ مَآ أَنَّكُمْ تَنطِقُونَ,Then by the Lord of heaven and earth! ˹All˺ this is certainly as true as ˹the fact that˺ you can speak!,"Then, by the Lord of heaven and earth, this is the very Truth, as much as the fact that ye can speak intelligently to each other.","And by the Lord of the heavens and the earth, it is the truth, even as (it is true) that ye speak.","So by the Lord of heaven and earth, it is as surely true as that you have speech.",26,455,208,7,Meccan,FALSE,9,Scattering & Divine Warning,Creation & Natural Signs
4699,4699,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,24,هَلْ أَتَىٰكَ حَدِيثُ ضَيْفِ إِبْرَٰهِيمَ ٱلْمُكْرَمِينَ,Has the story of Abraham’s honoured guests reached you ˹O Prophet˺?,"Has the story reached thee, of the honoured guests of Abraham?",Hath the story of Abraham’s honoured guests reached thee (O Muhammad) ?,Hast thou received the story of the honoured guests of Abraham?,26,456,208,7,Meccan,FALSE,6,Scattering & Divine Warning,
4700,4700,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,25,إِذْ دَخَلُوا۟ عَلَيْهِ فَقَالُوا۟ سَلَٰمًۭا ۖ قَالَ سَلَٰمٌۭ قَوْمٌۭ مُّنكَرُونَ,"˹Remember˺ when they entered his presence and greeted ˹him with˺, “Peace!” He replied, “Peace ˹be upon you˺!” ˹Then he said to himself,˺ “˹These are˺ an unfamiliar people.”","Behold, they entered his presence, and said: ""Peace!"" He said, ""Peace!"" (and thought, ""These seem) unusual people.""","When they came in unto him and said: Peace! he answered, Peace! (and thought): Folk unknown (to me).","When they entered unto him, saying ’Peace!’ he said ’Peace! You are a people unknown to me.’",26,456,208,7,Meccan,FALSE,10,Scattering & Divine Warning,
4701,4701,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,26,فَرَاغَ إِلَىٰٓ أَهْلِهِۦ فَجَآءَ بِعِجْلٍۢ سَمِينٍۢ,"Then he slipped off to his family and brought a fat ˹roasted˺ calf,","Then he turned quickly to his household, brought out a fatted calf,",Then he went apart unto his housefolk so that they brought a fatted calf;,"Then he turned to his household and brought a fattened calf,",26,456,208,7,Meccan,FALSE,6,Scattering & Divine Warning,
4702,4702,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,27,فَقَرَّبَهُۥٓ إِلَيْهِمْ قَالَ أَلَا تَأْكُلُونَ,"and placed it before them, asking, “Will you not eat?”","And placed it before them.. he said, ""Will ye not eat?""","And he set it before them, saying: Will ye not eat ?","and he laid it before them saying, ’Will you not eat?’",26,456,208,7,Meccan,FALSE,5,Scattering & Divine Warning,
4703,4703,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,28,فَأَوْجَسَ مِنْهُمْ خِيفَةًۭ ۖ قَالُوا۟ لَا تَخَفْ ۖ وَبَشَّرُوهُ بِغُلَٰمٍ عَلِيمٍۢ,"˹They did not eat,˺ so he grew fearful of them.","(When they did not eat), He conceived a fear of them. They said, ""Fear not,"" and they gave him glad tidings of a son endowed with knowledge.",Then he conceived a fear of them. They said: Fear not! and gave him tidings of (the birth of) a wise son.,"Then he conceived a fear of them. They said, ’Be not afraid!’ And they gave him good tidings of a cunning boy.",26,456,208,7,Meccan,FALSE,11,Scattering & Divine Warning,
4704,4704,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,29,فَأَقْبَلَتِ ٱمْرَأَتُهُۥ فِى صَرَّةٍۢ فَصَكَّتْ وَجْهَهَا وَقَالَتْ عَجُوزٌ عَقِيمٌۭ,"Then his wife came forward with a cry, clasping her forehead ˹in astonishment˺, exclaiming, “˹A baby from˺ a barren, old woman!”","But his wife came forward (laughing) aloud: she smote her forehead and said: ""A barren old woman!""","Then his wife came forward, making moan, and smote her face, and cried: A barren old woman!","Then came forward his wife, clamouring, and she smote her face, and said, ’An old woman, barren!’",26,456,208,7,Meccan,FALSE,9,Scattering & Divine Warning,
4705,4705,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,30,قَالُوا۟ كَذَٰلِكِ قَالَ رَبُّكِ ۖ إِنَّهُۥ هُوَ ٱلْحَكِيمُ ٱلْعَلِيمُ,"They replied, “Such has your Lord decreed. He is truly the All-Wise, All-Knowing.”","They said, ""Even so has thy Lord spoken: and He is full of Wisdom and Knowledge.""","They said: Even so saith thy Lord. Lo! He is the Wise, the Knower.","They said, ’So says thy Lord; He is the All-wise, the All-knowing.’",26,456,208,7,Meccan,FALSE,9,Scattering & Divine Warning,
4706,4706,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,31,۞ قَالَ فَمَا خَطْبُكُمْ أَيُّهَا ٱلْمُرْسَلُونَ,"˹Later,˺ Abraham asked, “What is your mission, O  messengers?”","(Abraham) said: ""And what, O ye Messengers, is your errand (now)?""","(Abraham) said: And (afterward) what is your errand, O ye sent (from Allah) ?","Said he, ’And what is your business, envoys?’",27,456,209,7,Meccan,FALSE,6,Scattering & Divine Warning,
4707,4707,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,32,قَالُوٓا۟ إِنَّآ أُرْسِلْنَآ إِلَىٰ قَوْمٍۢ مُّجْرِمِينَ,"They replied, “We have actually been sent to a wicked people,","They said, ""We have been sent to a people (deep) in sin;-","They said: Lo! we are sent unto a guilty folk,","They said, ’We have been sent to a people of sinners,",27,456,209,7,Meccan,FALSE,6,Scattering & Divine Warning,
4708,4708,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,33,لِنُرْسِلَ عَلَيْهِمْ حِجَارَةًۭ مِّن طِينٍۢ,"to send upon them stones of ˹baked˺ clay,","""To bring on, on them, (a shower of) stones of clay (brimstone),","That we may send upon them stones of clay,",to loose upon them stones of clay,27,456,209,7,Meccan,FALSE,5,Scattering & Divine Warning,
4709,4709,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,34,مُّسَوَّمَةً عِندَ رَبِّكَ لِلْمُسْرِفِينَ,marked by your Lord for the transgressors.”,"""Marked as from thy Lord for those who trespass beyond bounds.""",Marked by thy Lord for (the destruction of) the wanton.,marked with thy Lord for the prodigal.,27,456,209,7,Meccan,FALSE,4,Scattering & Divine Warning,
4710,4710,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,35,فَأَخْرَجْنَا مَن كَانَ فِيهَا مِنَ ٱلْمُؤْمِنِينَ,Then ˹before the torment˺ We evacuated the believers from the city.,"Then We evacuated those of the Believers who were there,",Then we brought forth such believers as were there.,"So We brought forth such believers as were in it,",27,456,209,7,Meccan,FALSE,6,Scattering & Divine Warning,
4711,4711,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,36,فَمَا وَجَدْنَا فِيهَا غَيْرَ بَيْتٍۢ مِّنَ ٱلْمُسْلِمِينَ,But We only found one family that had submitted ˹to Allah˺.,But We found not there any just (Muslim) persons except in one house:,But We found there but one house of those surrendered (to Allah).,but We found not therein except one house of those that have surrendered themselves.,27,456,209,7,Meccan,FALSE,7,Scattering & Divine Warning,
4712,4712,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,37,وَتَرَكْنَا فِيهَآ ءَايَةًۭ لِّلَّذِينَ يَخَافُونَ ٱلْعَذَابَ ٱلْأَلِيمَ,And We have left a sign there ˹as a lesson˺ for those who fear the painful punishment.,And We left there a Sign for such as fear the Grievous Penalty.,And We left behind therein a portent for those who fear a painful doom.,And therein We left a sign to those who fear the painful chastisement.,27,456,209,7,Meccan,FALSE,7,Scattering & Divine Warning,
4713,4713,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,38,وَفِى مُوسَىٰٓ إِذْ أَرْسَلْنَٰهُ إِلَىٰ فِرْعَوْنَ بِسُلْطَٰنٍۢ مُّبِينٍۢ,"And in ˹the story of˺ Moses ˹was another lesson,˺ when We sent him to Pharaoh with compelling proof,","And in Moses (was another Sign): Behold, We sent him to Pharaoh, with authority manifest.","And in Moses (too, there is a portent) when We sent him unto Pharaoh with clear warrant,","And also in Moses, when We sent him unto Pharaoh, with a clear authority,",27,456,209,7,Meccan,FALSE,8,Scattering & Divine Warning,Prophet Musa (Moses)
4714,4714,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,39,فَتَوَلَّىٰ بِرُكْنِهِۦ وَقَالَ سَٰحِرٌ أَوْ مَجْنُونٌۭ,"but Pharaoh was carried away by his power, saying ˹of Moses˺, “A magician or a madman!”","But (Pharaoh) turned back with his Chiefs, and said, ""A sorcerer, or one possessed!""","But he withdrew (confiding) in his might, and said: A wizard or a madman.","but he turned his back, with his court, saying, ’A sorcerer, or a man possessed!’",27,456,209,7,Meccan,FALSE,6,Scattering & Divine Warning,
4715,4715,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,40,فَأَخَذْنَٰهُ وَجُنُودَهُۥ فَنَبَذْنَٰهُمْ فِى ٱلْيَمِّ وَهُوَ مُلِيمٌۭ,"So We seized him and his soldiers, casting them into the sea while he was blameworthy.","So We took him and his forces, and threw them into the sea; and his was the blame.","So We seized him and his hosts and flung them in the sea, for he was reprobate.","So We seized him and his hosts, and We cast them into the sea, and he blameworthy.",27,456,209,7,Meccan,FALSE,7,Scattering & Divine Warning,
4716,4716,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,41,وَفِى عَادٍ إِذْ أَرْسَلْنَا عَلَيْهِمُ ٱلرِّيحَ ٱلْعَقِيمَ,"And in ˹the story of˺ ’ad ˹was another lesson,˺ when We sent against them the devastating wind.","And in the ’Ad (people) (was another Sign): Behold, We sent against them the devastating Wind:",And in (the tribe of) A’ad (there is a portent) when we sent the fatal wind against them.,"And also in Ad, when We loosed against them the withering wind",27,456,209,7,Meccan,FALSE,7,Scattering & Divine Warning,
4717,4717,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,42,مَا تَذَرُ مِن شَىْءٍ أَتَتْ عَلَيْهِ إِلَّا جَعَلَتْهُ كَٱلرَّمِيمِ,There was nothing it came upon that it did not reduce to ashes.,"It left nothing whatever that it came up against, but reduced it to ruin and rottenness.","It spared naught that it reached, but made it (all) as dust.","that left nothing it came upon, but made it as stuff decayed.",27,456,209,7,Meccan,FALSE,9,Scattering & Divine Warning,
4718,4718,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,43,وَفِى ثَمُودَ إِذْ قِيلَ لَهُمْ تَمَتَّعُوا۟ حَتَّىٰ حِينٍۢ,"And in ˹the story of˺ Thamûd ˹was another lesson,˺ when they were told, “Enjoy yourselves ˹only˺ for a ˹short˺ while.”","And in the Thamud (was another Sign): Behold, they were told, ""Enjoy (your brief day) for a little while!""",And in (the tribe of) Thamud (there is a portent) when it was told them: Take your ease awhile.,"And also in Thamood, when it was said to them, ’Take your enjoyment for a while!’",27,456,209,7,Meccan,FALSE,8,Scattering & Divine Warning,
4719,4719,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,44,فَعَتَوْا۟ عَنْ أَمْرِ رَبِّهِمْ فَأَخَذَتْهُمُ ٱلصَّٰعِقَةُ وَهُمْ يَنظُرُونَ,"Still they persisted in defying the commands of their Lord, so they were overtaken by a ˹mighty˺ blast while they were looking on.","But they insolently defied the Command of their Lord: So the stunning noise (of an earthquake) seized them, even while they were looking on.","But they rebelled against their Lord’s decree, and so the thunderbolt overtook them even while they gazed;","Then they turned in disdain from the commandment of their Lord, and the thunderbolt took them and they themselves beholding",27,456,209,7,Meccan,FALSE,8,Scattering & Divine Warning,
4720,4720,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,45,فَمَا ٱسْتَطَٰعُوا۟ مِن قِيَامٍۢ وَمَا كَانُوا۟ مُنتَصِرِينَ,"Then they were not able to rise up, nor were they helped.","Then they could not even stand (on their feet), nor could they help themselves.","And they were unable to rise up, nor could they help themselves.","and they were not able to stand upright, and were not helped.",27,456,209,7,Meccan,FALSE,7,Scattering & Divine Warning,
4721,4721,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,46,وَقَوْمَ نُوحٍۢ مِّن قَبْلُ ۖ إِنَّهُمْ كَانُوا۟ قَوْمًۭا فَٰسِقِينَ,And the people of Noah ˹had also been destroyed˺ earlier. They were truly a rebellious people.,So were the People of Noah before them for they wickedly transgressed.,And the folk of Noah aforetime. Lo! they were licentious folk.,And the people of Noah before; surely they were an ungodly people.,27,456,209,7,Meccan,FALSE,9,Scattering & Divine Warning,Prophet Nuh (Noah)
4722,4722,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,47,وَٱلسَّمَآءَ بَنَيْنَٰهَا بِأَيْي۟دٍۢ وَإِنَّا لَمُوسِعُونَ,"We built the universe with ˹great˺ might, and We are certainly expanding ˹it˺.",With power and skill did We construct the Firmament: for it is We Who create the vastness of pace.,"We have built the heaven with might, and We it is Who make the vast extent (thereof).","And heaven -- We built it with might, and We extend it wide.",27,457,209,7,Meccan,FALSE,5,Scattering & Divine Warning,
4723,4723,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,48,وَٱلْأَرْضَ فَرَشْنَٰهَا فَنِعْمَ ٱلْمَٰهِدُونَ,"As for the earth, We spread it out. How superbly did We smooth it out!",And We have spread out the (spacious) earth: How excellently We do spread out!,"And the earth have We laid out, how gracious is the Spreader (thereof)!",And the earth -- We spread it forth; O excellent Smoothers!,27,457,209,7,Meccan,FALSE,4,Scattering & Divine Warning,Creation & Natural Signs
4724,4724,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,49,وَمِن كُلِّ شَىْءٍ خَلَقْنَا زَوْجَيْنِ لَعَلَّكُمْ تَذَكَّرُونَ,And We created pairs of all things so perhaps you would be mindful.,And of every thing We have created pairs: That ye may receive instruction.,"And all things We have created by pairs, that haply ye may reflect.",And of everything created We two kinds; haply you will remember,27,457,209,7,Meccan,FALSE,7,Scattering & Divine Warning,Marriage
4725,4725,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,50,فَفِرُّوٓا۟ إِلَى ٱللَّهِ ۖ إِنِّى لَكُم مِّنْهُ نَذِيرٌۭ مُّبِينٌۭ,"So ˹proclaim, O  Prophet˺: “Flee to Allah! I am truly sent by Him with a clear warning to you.","Hasten ye then (at once) to God: I am from Him a Warner to you, clear and open!",Therefor flee unto Allah; lo! I am a plain warner unto you from him.,Therefore flee unto God! I am a clear warner from Him to you.,27,457,209,7,Meccan,FALSE,9,Scattering & Divine Warning,
4726,4726,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,51,وَلَا تَجْعَلُوا۟ مَعَ ٱللَّهِ إِلَٰهًا ءَاخَرَ ۖ إِنِّى لَكُم مِّنْهُ نَذِيرٌۭ مُّبِينٌۭ,And do not set up another god with Allah. I am truly sent by Him with a clear warning to you.”,"And make not another an object of worship with God: I am from Him a Warner to you, clear and open!",And set not any other god along with Allah; lo! I am a plain warner unto you from Him.,And set not up with God another god; I am a clear warner from Him to you.,27,457,209,7,Meccan,FALSE,12,Scattering & Divine Warning,
4727,4727,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,52,كَذَٰلِكَ مَآ أَتَى ٱلَّذِينَ مِن قَبْلِهِم مِّن رَّسُولٍ إِلَّا قَالُوا۟ سَاحِرٌ أَوْ مَجْنُونٌ,"Similarly, no messenger came to those before them without being told: “A magician or a madman!”","Similarly, no apostle came to the Peoples before them, but they said (of him) in like manner, ""A sorcerer, or one possessed""!",Even so there came no messenger unto those before them but they said: A wizard or a madman!,"Even so not a Messenger came to those before them but they said, ’A sorcerer, or a man possessed!’",27,457,209,7,Meccan,FALSE,13,Scattering & Divine Warning,
4728,4728,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,53,أَتَوَاصَوْا۟ بِهِۦ ۚ بَلْ هُمْ قَوْمٌۭ طَاغُونَ,"Have they passed this ˹cliché˺ down to one another? In fact, they have ˹all˺ been a transgressing people.","Is this the legacy they have transmitted, one to another? Nay, they are themselves a people transgressing beyond bounds!","Have they handed down (the saying) as an heirloom one unto another ? Nay, but they are froward folk.","What, have they bequeathed it one to another? Nay, but they are an insolent people.",27,457,209,7,Meccan,FALSE,7,Scattering & Divine Warning,
4729,4729,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,54,فَتَوَلَّ عَنْهُمْ فَمَآ أَنتَ بِمَلُومٍۢ,"So ˹now˺ turn away from them ˹O Prophet˺, for you will not be blamed.",So turn away from them: not thine is the blame.,"So withdraw from them (O Muhammad), for thou art in no wise blameworthy,",So turn thou from them; thou wilt not be reproached.,27,457,209,7,Meccan,FALSE,5,Scattering & Divine Warning,
4730,4730,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,55,وَذَكِّرْ فَإِنَّ ٱلذِّكْرَىٰ تَنفَعُ ٱلْمُؤْمِنِينَ,But ˹continue to˺ remind. For certainly reminders benefit the believers.,But teach (thy Message) for teaching benefits the Believers.,"And warn, for warning profiteth believers.",And remind; the Reminder profits the believers.,27,457,209,7,Meccan,FALSE,5,Scattering & Divine Warning,
4731,4731,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,56,وَمَا خَلَقْتُ ٱلْجِنَّ وَٱلْإِنسَ إِلَّا لِيَعْبُدُونِ,I did not create jinn and humans except to worship Me.,"I have only created Jinns and men, that they may serve Me.",I created the jinn and humankind only that they might worship Me.,I have not created jinn and mankind except to serve Me.,27,457,209,7,Meccan,FALSE,6,Scattering & Divine Warning,
4732,4732,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,57,مَآ أُرِيدُ مِنْهُم مِّن رِّزْقٍۢ وَمَآ أُرِيدُ أَن يُطْعِمُونِ,"I seek no provision from them, nor do I need them to feed Me.","No Sustenance do I require of them, nor do I require that they should feed Me.","I seek no livelihood from them, nor do I ask that they should feed","I desire of them no provision, neither do I desire that they should feed Me.",27,457,209,7,Meccan,FALSE,9,Scattering & Divine Warning,
4733,4733,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,58,إِنَّ ٱللَّهَ هُوَ ٱلرَّزَّاقُ ذُو ٱلْقُوَّةِ ٱلْمَتِينُ,"Indeed, Allah ˹alone˺ is the Supreme Provider—Lord of all Power, Ever Mighty.","For God is He Who gives (all) Sustenance,- Lord of Power,- Steadfast (for ever).","Lo! Allah! He it is that giveth livelihood, the Lord of unbreakable might.","Surely God is the All-provider, the Possessor of Strength, the Ever-Sure.",27,457,209,7,Meccan,FALSE,7,Scattering & Divine Warning,
4734,4734,51,الذاريات,The Winnowing Winds,Adh-Dhariyat,59,فَإِنَّ لِلَّذِينَ ظَلَمُوا۟ ذَنُوبًۭا مِّثْلَ ذَنُوبِ أَصْحَٰبِهِمْ فَلَا يَسْتَعْجِلُونِ,The wrongdoers will certainly have a share ˹of the torment˺ like that of their predecessors. So do not let them ask Me to hasten ˹it˺.,"For the Wrong-doers, their portion is like unto the portion of their fellows (of earlier generations): then let them not ask Me to hasten (that portion)!",And lo! for those who (now) do wrong there is an evil day like unto the evil day (which came for) their likes (of old); so let them not ask Me to hasten on (that day).,"The evildoers shall have their portion, like the portion of their fellows; so let them not hasten Me!",27,457,209,7,Meccan,FALSE,9,Scattering & Divine Warning,
